CS	US	US_sound	US_cue	condition	episode_nr	valence
25_headphones.jpg	negative_10_leg.jpeg	negative_10_leg.wav	Fracture	1	1	1
10_compass.jpg	negative_19_whip.jpeg	negative_19_whip.wav	Whip	1	2	1
32_printer.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	Tongue	1	3	1
34_umbrella.jpg	negative_11_feces.jpeg	negative_11_feces.wav	Toilet	1	4	1
33_speaker.jpg	negative_09_shot.jpeg	negative_09_shot.wav	Weapon	1	5	1
29_magnifier.jpg	negative_05_surgery.jpeg	negative_05_surgery.wav	Gimace	1	6	1
20_racket.jpg	negative_15_plane.jpeg	negative_15_plane.wav	Debris	2	7	1
31_pen.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	Tied up	2	8	1
19_bag.jpg	negative_12_eye.jpeg	negative_12_eye.wav	Eye	2	9	1
35_wateringcan.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	Black eye	2	10	1
07_tree.jpg	negative_06_drown.jpeg	negative_06_drown.wav	Riverbank	2	11	1
36_sandwich.jpg	negative_04_burns.jpeg	negative_04_burns.wav	No lips	2	12	1
21_bowl.jpg	negative_20_cat.jpeg	negative_20_cat.wav	In the vet's hand	3	13	1
16_spatula.jpg	negative_08_car.jpeg	negative_08_car.wav	Hood of car	3	14	1
09_woodencrate.jpg	negative_18_chainsaw.jpeg	negative_18_chainsaw.wav	Saw	3	15	1
03_barbecue.jpg	negative_02_baby.jpeg	negative_02_baby.wav	Bathtub	3	16	1
12_goose.jpg	negative_03_dog.jpeg	negative_03_dog.wav	Ribcage	3	17	1
11_teddy.jpg	negative_16_foot.jpeg	negative_16_foot.wav	Toe	3	18	1
14_workbench.jpg	neutral_19_market.jpeg	neutral_19_market.wav	Pile of fruit	4	19	2
13_rollator.jpg	neutral_07_student.jpeg	neutral_07_student.wav	Books	4	20	2
05_leaf.jpg	neutral_08_car.jpeg	neutral_08_car.wav	Road	4	21	2
24_mouse.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	Brush	4	22	2
22_clothespin.jpg	neutral_02_baby.jpeg	neutral_02_baby.wav	Crawling	4	23	2
26_lamp.jpg	neutral_06_swim.jpeg	neutral_06_swim.wav	Lake	4	24	2
18_binoculars.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	Tool	5	25	2
02_chain.jpg	neutral_20_cat.jpeg	neutral_20_cat.wav	Shiny fur	5	26	2
08_gem.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	Cheese	5	27	2
23_coffeepot.jpg	neutral_11_soup.jpeg	neutral_11_soup.wav	Vegetables	5	28	2
30_notebook.jpg	neutral_15_plane.jpeg	neutral_15_plane.wav	In the sky	5	29	2
28_bulb.jpg	neutral_05_shave.jpeg	neutral_05_shave.wav	Ginger hair	5	30	2
04_beer.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	Flame	6	31	2
17_spaghetti.jpg	neutral_03_dog.jpeg	neutral_03_dog.wav	Leash	6	32	2
06_guitar.jpg	neutral_12_slice.jpeg	neutral_12_slice.wav	Slices	6	33	2
01_brush.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	Shoes	6	34	2
15_parkbench.jpg	neutral_17_bike.jpeg	neutral_17_bike.wav	Bike	6	35	2
27_basket.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	Forest	6	36	2
