CS	US	US_sound	condition	episode_nr	valence
22_clothespin.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	1	1	1
10_compass.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	1	2	1
13_rollator.jpg	negative_06_drown.jpeg	negative_06_drown.wav	1	3	1
05_leaf.jpg	negative_12_eye.jpeg	negative_12_eye.wav	1	4	1
20_racket.jpg	negative_02_baby.jpeg	negative_02_baby.wav	1	5	1
08_gem.jpg	negative_10_leg.jpeg	negative_10_leg.wav	1	6	1
24_mouse.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	2	7	1
11_teddy.jpg	negative_08_car.jpeg	negative_08_car.wav	2	8	1
31_pen.jpg	negative_09_shot.jpeg	negative_09_shot.wav	2	9	1
28_bulb.jpg	negative_03_dog.jpeg	negative_03_dog.wav	2	10	1
36_sandwich.jpg	negative_18_chainsaw.jpeg	negative_18_chainsaw.wav	2	11	1
14_workbench.jpg	negative_16_foot.jpeg	negative_16_foot.wav	2	12	1
26_lamp.jpg	neutral_07_student.jpeg	neutral_07_student.wav	4	19	2
01_brush.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	4	20	2
16_spatula.jpg	neutral_17_bike.jpeg	neutral_17_bike.wav	4	21	2
23_coffeepot.jpg	neutral_03_dog.jpeg	neutral_03_dog.wav	4	22	2
04_beer.jpg	neutral_12_slice.jpeg	neutral_12_slice.wav	4	23	2
06_guitar.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	4	24	2
35_wateringcan.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	5	25	2
17_spaghetti.jpg	neutral_02_baby.jpeg	neutral_02_baby.wav	5	26	2
29_magnifier.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	5	27	2
07_tree.jpg	neutral_11_soup.jpeg	neutral_11_soup.wav	5	28	2
25_headphones.jpg	neutral_05_shave.jpeg	neutral_05_shave.wav	5	29	2
18_binoculars.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	5	30	2
